,Year,Month,Incident Zip,Sanitation_related,Neighborhood_related,House_related,Pollution_related,Other_related
422,2015,3,10019,1177,1177,1177,1177,1177
423,2015,3,10020,11,11,11,11,11
424,2015,3,10021,644,644,644,644,644
425,2015,3,10022,696,696,696,696,696
426,2015,3,10023,882,882,882,882,882
427,2015,3,10024,797,797,797,797,797
428,2015,3,10025,1491,1491,1491,1491,1491
429,2015,3,10026,781,781,781,781,781
430,2015,3,10027,1375,1375,1375,1375,1375
431,2015,3,10028,612,612,612,612,612
432,2015,3,10029,1313,1313,1313,1313,1313
433,2015,3,10030,790,790,790,790,790
434,2015,3,10031,1823,1823,1823,1823,1823
435,2015,3,10032,2000,2000,2000,2000,2000
436,2015,3,10033,1393,1393,1393,1393,1393
437,2015,3,10034,1282,1282,1282,1282,1282
438,2015,3,10035,881,881,881,881,881
439,2015,3,10036,1082,1082,1082,1082,1082
440,2015,3,10037,297,297,297,297,297
441,2015,3,10038,340,340,340,340,340
442,2015,3,10039,474,474,474,474,474
443,2015,3,10040,1809,1809,1809,1809,1809
444,2015,3,10041,2,2,2,2,2
445,2015,3,10044,15,15,15,15,15
446,2015,3,10048,3,3,3,3,3
447,2015,3,10065,500,500,500,500,500
448,2015,3,10069,21,21,21,21,21
449,2015,3,10075,340,340,340,340,340
450,2015,3,10103,2,2,2,2,2
451,2015,3,10111,2,2,2,2,2
452,2015,3,10112,1,1,1,1,1
453,2015,3,10119,2,2,2,2,2
454,2015,3,10122,1,1,1,1,1
455,2015,3,10128,692,692,692,692,692
456,2015,3,10129,3,3,3,3,3
457,2015,3,10153,2,2,2,2,2
458,2015,3,10162,2,2,2,2,2
459,2015,3,10172,1,1,1,1,1
460,2015,3,10280,43,43,43,43,43
461,2015,3,10281,4,4,4,4,4
462,2015,3,10282,16,16,16,16,16
463,2015,3,10301,1076,1076,1076,1076,1076
464,2015,3,10302,429,429,429,429,429
465,2015,3,10303,537,537,537,537,537
466,2015,3,10304,1033,1033,1033,1033,1033
467,2015,3,10305,935,935,935,935,935
468,2015,3,10306,1402,1402,1402,1402,1402
469,2015,3,10307,240,240,240,240,240
470,2015,3,10308,626,626,626,626,626
471,2015,3,10309,797,797,797,797,797
472,2015,3,10310,570,570,570,570,570
473,2015,3,10312,1320,1320,1320,1320,1320
474,2015,3,10314,1996,1996,1996,1996,1996
475,2015,3,10451,1175,1175,1175,1175,1175
476,2015,3,10452,1939,1939,1939,1939,1939
477,2015,3,10453,2288,2288,2288,2288,2288
478,2015,3,10454,719,719,719,719,719
479,2015,3,10455,787,787,787,787,787
480,2015,3,10456,1879,1879,1879,1879,1879
481,2015,3,10457,2295,2295,2295,2295,2295
482,2015,3,10458,2485,2485,2485,2485,2485
483,2015,3,10459,1031,1031,1031,1031,1031
484,2015,3,10460,1452,1452,1452,1452,1452
485,2015,3,10461,1311,1311,1311,1311,1311
486,2015,3,10462,1925,1925,1925,1925,1925
487,2015,3,10463,1748,1748,1748,1748,1748
488,2015,3,10464,239,239,239,239,239
489,2015,3,10465,917,917,917,917,917
490,2015,3,10466,1849,1849,1849,1849,1849
491,2015,3,10467,2890,2890,2890,2890,2890
492,2015,3,10468,2680,2680,2680,2680,2680
493,2015,3,10469,1317,1317,1317,1317,1317
494,2015,3,10470,626,626,626,626,626
495,2015,3,10471,396,396,396,396,396
496,2015,3,10472,1991,1991,1991,1991,1991
497,2015,3,10473,798,798,798,798,798
498,2015,3,10474,431,431,431,431,431
499,2015,3,10475,335,335,335,335,335
500,2015,3,10803,5,5,5,5,5
501,2015,3,11001,54,54,54,54,54
502,2015,3,11004,221,221,221,221,221
503,2015,3,11005,14,14,14,14,14
504,2015,3,11040,35,35,35,35,35
505,2015,3,11101,1399,1399,1399,1399,1399
506,2015,3,11102,683,683,683,683,683
507,2015,3,11103,974,974,974,974,974
508,2015,3,11104,608,608,608,608,608
509,2015,3,11105,857,857,857,857,857
510,2015,3,11106,880,880,880,880,880
511,2015,3,11109,18,18,18,18,18
512,2015,3,11201,1239,1239,1239,1239,1239
513,2015,3,11203,1781,1781,1781,1781,1781
514,2015,3,11204,1598,1598,1598,1598,1598
515,2015,3,11205,1157,1157,1157,1157,1157
516,2015,3,11206,1704,1704,1704,1704,1704
517,2015,3,11207,2278,2278,2278,2278,2278
518,2015,3,11208,2340,2340,2340,2340,2340
519,2015,3,11209,1676,1676,1676,1676,1676
520,2015,3,11210,1373,1373,1373,1373,1373
521,2015,3,11211,1601,1601,1601,1601,1601
522,2015,3,11212,1930,1930,1930,1930,1930
523,2015,3,11213,2090,2090,2090,2090,2090
524,2015,3,11214,1473,1473,1473,1473,1473
525,2015,3,11215,1520,1520,1520,1520,1520
526,2015,3,11216,1895,1895,1895,1895,1895
527,2015,3,11217,1041,1041,1041,1041,1041
528,2015,3,11218,1496,1496,1496,1496,1496
529,2015,3,11219,1425,1425,1425,1425,1425
530,2015,3,11220,1673,1673,1673,1673,1673
531,2015,3,11221,1945,1945,1945,1945,1945
532,2015,3,11222,1104,1104,1104,1104,1104
533,2015,3,11223,1573,1573,1573,1573,1573
534,2015,3,11224,612,612,612,612,612
535,2015,3,11225,1813,1813,1813,1813,1813
536,2015,3,11226,3138,3138,3138,3138,3138
537,2015,3,11228,699,699,699,699,699
538,2015,3,11229,1634,1634,1634,1634,1634
539,2015,3,11230,2010,2010,2010,2010,2010
540,2015,3,11231,719,719,719,719,719
541,2015,3,11232,686,686,686,686,686
542,2015,3,11233,1810,1810,1810,1810,1810
543,2015,3,11234,1937,1937,1937,1937,1937
544,2015,3,11235,1664,1664,1664,1664,1664
545,2015,3,11236,1578,1578,1578,1578,1578
546,2015,3,11237,1435,1435,1435,1435,1435
547,2015,3,11238,1825,1825,1825,1825,1825
548,2015,3,11239,84,84,84,84,84
549,2015,3,11249,722,722,722,722,722
550,2015,3,11354,963,963,963,963,963
551,2015,3,11355,1212,1212,1212,1212,1212
552,2015,3,11356,614,614,614,614,614
553,2015,3,11357,848,848,848,848,848
554,2015,3,11358,796,796,796,796,796
555,2015,3,11360,242,242,242,242,242
556,2015,3,11361,624,624,624,624,624
557,2015,3,11362,371,371,371,371,371
558,2015,3,11363,285,285,285,285,285
559,2015,3,11364,649,649,649,649,649
560,2015,3,11365,720,720,720,720,720
561,2015,3,11366,497,497,497,497,497
562,2015,3,11367,969,969,969,969,969
563,2015,3,11368,1541,1541,1541,1541,1541
564,2015,3,11369,692,692,692,692,692
565,2015,3,11370,484,484,484,484,484
566,2015,3,11371,68,68,68,68,68
567,2015,3,11372,1081,1081,1081,1081,1081
568,2015,3,11373,1528,1528,1528,1528,1528
569,2015,3,11374,945,945,945,945,945
570,2015,3,11375,1168,1168,1168,1168,1168
571,2015,3,11377,1878,1878,1878,1878,1878
572,2015,3,11378,1142,1142,1142,1142,1142
573,2015,3,11379,725,725,725,725,725
574,2015,3,11385,2106,2106,2106,2106,2106
575,2015,3,11411,382,382,382,382,382
576,2015,3,11412,644,644,644,644,644
577,2015,3,11413,660,660,660,660,660
578,2015,3,11414,654,654,654,654,654
579,2015,3,11415,557,557,557,557,557
580,2015,3,11416,497,497,497,497,497
581,2015,3,11417,713,713,713,713,713
582,2015,3,11418,754,754,754,754,754
583,2015,3,11419,817,817,817,817,817
584,2015,3,11420,883,883,883,883,883
585,2015,3,11421,969,969,969,969,969
586,2015,3,11422,493,493,493,493,493
587,2015,3,11423,607,607,607,607,607
588,2015,3,11426,366,366,366,366,366
589,2015,3,11427,542,542,542,542,542
590,2015,3,11428,394,394,394,394,394
591,2015,3,11429,424,424,424,424,424
592,2015,3,11430,86,86,86,86,86
593,2015,3,11432,1327,1327,1327,1327,1327
594,2015,3,11433,979,979,979,979,979
595,2015,3,11434,1123,1123,1123,1123,1123
596,2015,3,11435,1048,1048,1048,1048,1048
597,2015,3,11436,385,385,385,385,385
598,2015,3,11691,1219,1219,1219,1219,1219
599,2015,3,11692,295,295,295,295,295
600,2015,3,11693,235,235,235,235,235
601,2015,3,11694,443,443,443,443,443
602,2015,3,11697,31,31,31,31,31
603,2015,3,83,5,5,5,5,5
604,2015,3,nan,43,43,43,43,43
605,2015,4,00000,1,1,1,1,1
606,2015,4,00083,5,5,5,5,5
607,2015,4,10000,8,8,8,8,8
608,2015,4,10001,793,793,793,793,793
609,2015,4,10002,1412,1412,1412,1412,1412
610,2015,4,10003,1398,1398,1398,1398,1398
611,2015,4,10004,145,145,145,145,145
612,2015,4,10005,130,130,130,130,130
613,2015,4,10006,87,87,87,87,87
614,2015,4,10007,223,223,223,223,223
615,2015,4,10009,1277,1277,1277,1277,1277
616,2015,4,10010,539,539,539,539,539
617,2015,4,10011,1319,1319,1319,1319,1319
618,2015,4,10012,773,773,773,773,773
619,2015,4,10013,1005,1005,1005,1005,1005
620,2015,4,10014,869,869,869,869,869
621,2015,4,10016,1152,1152,1152,1152,1152
622,2015,4,10017,624,624,624,624,624
623,2015,4,10018,455,455,455,455,455
624,2015,4,10019,1443,1443,1443,1443,1443
625,2015,4,10020,20,20,20,20,20
626,2015,4,10021,521,521,521,521,521
627,2015,4,10022,746,746,746,746,746
628,2015,4,10023,829,829,829,829,829
629,2015,4,10024,931,931,931,931,931
630,2015,4,10025,1549,1549,1549,1549,1549
